Date,Item,UPC,Item,Current Units,Current Sales,Current Weight
2024-07-31,25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),25375,CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),3,10.95,3
2024-07-31,25376 - CHEESE DANISH SQUARE,25376,CHEESE DANISH SQUARE,9,35.55,9
2024-07-31,25377 - COFFEE CAKE,25377,COFFEE CAKE,0,0,0
2024-07-31,25385 - BANANA NUT LOAF,25385,BANANA NUT LOAF,0,0,0
2024-07-31,25386 - ICED LEMON LOAF,25386,ICED LEMON LOAF,1,4.25,1
2024-07-31,25387 - PUMPKIN LOAF,25387,PUMPKIN LOAF,0,0,0
2024-07-31,25426 - CHOCOLATE CHIP COOKIE,25426,CHOCOLATE CHIP COOKIE,0,0,0
2024-07-31,25432 - BIRTHDAY CAKE POP,25432,BIRTHDAY CAKE POP,14,48.3,14
2024-07-31,25434 - CHOCOLATE CAKE POP,25434,CHOCOLATE CAKE POP,6,20.7,6
2024-07-31,25438 - EGG WHITE WRAP W/SPINACH,25438,EGG WHITE WRAP W/SPINACH,1,4.75,1
2024-07-31,25440 - BACON GOUDA CIABATTA,25440,BACON GOUDA CIABATTA,5,26.25,5
2024-07-31,25441 - SAUS EGG BKFAST SANDWICH,25441,SAUS EGG BKFAST SANDWICH,4,19,4
2024-07-31,25442 - REDUCED FAT TURK BAC SAND,25442,REDUCED FAT TURK BAC SAND,3,14.25,3
2024-07-31,25550 - DOUBLE SMOKED BACON,25550,DOUBLE SMOKED BACON,4,23,4
2024-07-31,25658 - HAM N CHZ SAVORY FOLDOVER,25658,HAM N CHZ SAVORY FOLDOVER,7,34.65,7
2024-07-31,26121 - SOUS VIDE BACON & GRUYERE,26121,SOUS VIDE BACON & GRUYERE,2,10.9,2
2024-07-31,26122 - SOUS VIDE EGG WHT RSTD RED PPR,26122,SOUS VIDE EGG WHT RSTD RED PPR,0,0,0
2024-07-31,"26688 - BACON, SAUSAGE AND EGG WRAP",26688,"BACON, SAUSAGE AND EGG WRAP",0,0,0
2024-07-31,26690 - PETITE VANILLA BEAN SCONE,26690,PETITE VANILLA BEAN SCONE,0,0,0
2024-07-31,26704 - IMPOSSIBLE BREAKFAST SANDWICH,26704,IMPOSSIBLE BREAKFAST SANDWICH,0,0,0
2024-07-31,5769 - PUMPKIN & PEPITA LOAF,5769,PUMPKIN & PEPITA LOAF,3,12.75,3
2024-07-31,762111144355 - *D*MADELEINES,762111144355,*D*MADELEINES,0,0,0
2024-07-31,762111329264 - SALTED ALMOND CHOC BITES,762111329264,SALTED ALMOND CHOC BITES,0,0,0
2024-08-01,13896 - COOKIES & CREAM CAKE POP,13896,COOKIES & CREAM CAKE POP,4,13.8,4
2024-08-01,14089 - BUMBLEBEE CAKE POP,14089,BUMBLEBEE CAKE POP,0,0,0
2024-08-01,25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,25374,CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,5,19.75,5
2024-08-01,25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),25375,CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),4,14.6,4
2024-08-01,25376 - CHEESE DANISH SQUARE,25376,CHEESE DANISH SQUARE,7,27.65,7
2024-08-01,25377 - COFFEE CAKE,25377,COFFEE CAKE,1,3.95,1
2024-08-01,25384 - BLUEBERRY YOGURT MUFFIN,25384,BLUEBERRY YOGURT MUFFIN,0,0,0
2024-08-01,25385 - BANANA NUT LOAF,25385,BANANA NUT LOAF,4,17,4
2024-08-01,25386 - ICED LEMON LOAF,25386,ICED LEMON LOAF,2,8.5,2
2024-08-01,25387 - PUMPKIN LOAF,25387,PUMPKIN LOAF,0,0,0
2024-08-01,25426 - CHOCOLATE CHIP COOKIE,25426,CHOCOLATE CHIP COOKIE,2,6.5,2
2024-08-01,25432 - BIRTHDAY CAKE POP,25432,BIRTHDAY CAKE POP,11,37.95,11
2024-08-01,25434 - CHOCOLATE CAKE POP,25434,CHOCOLATE CAKE POP,2,6.9,2
2024-08-01,25438 - EGG WHITE WRAP W/SPINACH,25438,EGG WHITE WRAP W/SPINACH,2,9.5,2
2024-08-01,25440 - BACON GOUDA CIABATTA,25440,BACON GOUDA CIABATTA,4,21,4
2024-08-01,25441 - SAUS EGG BKFAST SANDWICH,25441,SAUS EGG BKFAST SANDWICH,1,4.75,1
2024-08-01,25442 - REDUCED FAT TURK BAC SAND,25442,REDUCED FAT TURK BAC SAND,2,9.5,2
2024-08-01,25550 - DOUBLE SMOKED BACON,25550,DOUBLE SMOKED BACON,2,11.5,2
2024-08-01,25658 - HAM N CHZ SAVORY FOLDOVER,25658,HAM N CHZ SAVORY FOLDOVER,4,19.8,4
2024-08-01,26121 - SOUS VIDE BACON & GRUYERE,26121,SOUS VIDE BACON & GRUYERE,3,16.35,3
2024-08-01,26122 - SOUS VIDE EGG WHT RSTD RED PPR,26122,SOUS VIDE EGG WHT RSTD RED PPR,1,5.45,1
2024-08-01,"26688 - BACON, SAUSAGE AND EGG WRAP",26688,"BACON, SAUSAGE AND EGG WRAP",0,0,0
2024-08-01,26704 - IMPOSSIBLE BREAKFAST SANDWICH,26704,IMPOSSIBLE BREAKFAST SANDWICH,0,0,0
2024-08-01,762111243140 - SBUX SIMPLY SLTD KETTLE CHIPS,762111243140,SBUX SIMPLY SLTD KETTLE CHIPS,0,0,0
2024-08-02,13896 - COOKIES & CREAM CAKE POP,13896,COOKIES & CREAM CAKE POP,2,6.9,2
2024-08-02,14089 - BUMBLEBEE CAKE POP,14089,BUMBLEBEE CAKE POP,0,0,0
